ID	year	ScientificName
becf07cc-3604-4e01-b2d3-b3a93ee704b2	2002	anthurium macdanielii
b37063c1-9682-4956-8cf0-c62b9b94a95e	2004	anthurium mindense
31168803-6605-4718-bc9f-6e3787edca7f	2001	anthurium oxybelium
fdaa3f74-af5b-4aaa-88d2-f98f22b2cfd8	1929	anthurium pentaphyllum
6cdc2e74-234b-4261-bb89-63fc71b8fd36	1929	anthurium sinuatum
7d9215e0-bb33-4f00-a0d3-6e2223ee4b67	1969	antidesma concinnum
a0c2f4a1-25a3-402b-a42b-e02d40d19d12	1969	antidesma concinnum
ee1f52e2-228a-4649-98b1-b7106ce8d92f	1969	antidesma concinnum
57fb16d1-ed7e-4d86-9cea-c759d207e2c5	1969	antidesma concinnum
b21748f0-e269-4a98-9271-717fd9f21f1d	1969	antidesma concinnum
88739a46-802c-48ac-b073-017d1046df07	1969	antidesma concinnum
3f1bdef3-3534-4533-811a-e39063236400	1969	antidesma concinnum
2b9a429b-82fc-49f0-9525-951c1f304356	1947	aparisthmium cordatum
6db7c18d-8807-41c1-ada6-27a1da6cc473	1987	aphelandra ameleta
d5721465-b9d8-4f5a-a48d-82472c6537c4	1985	aphelandra aurantiaca
de436dbe-677f-408b-af77-d7beaa0664ec	1987	aphelandra rosulata
c23b1b3c-adfe-43e2-b541-4b400f8e4f8d	1969	apluda mutica
a01aa2ed-e2f1-444f-93c6-db394f9a7d2a	1969	apluda mutica
9e07603a-b9b0-4907-a4e3-673295e21708	2.01E+03	apocynum androsaemifolium
d10dfa1d-66a6-40af-ab7a-86cb0dd9d295	1850	aptandra tubicina
2fdb6b50-db87-4451-8c81-65055ed6999c	1929	aptandra tubicina
f934a877-7256-429e-bfb5-139a14bf0db1	1852	arachniodes macrostegia
2ed03795-615f-47e4-8d47-f259f33b79ee	1928	arachniodes macrostegia
f9181dc0-9fab-42a8-8bbf-30f763b4728d	1942	arachniodes macrostegia
06322468-6df2-4206-acc9-010260840dde	1952	arachniodes macrostegia
64d25b23-331e-457f-ac7c-e16a9121fd49	1953	arachniodes macrostegia
a408ff36-1c4f-4cf5-a362-6fe066fcc382	1953	arachniodes macrostegia
b9c5cad3-3224-48b7-b003-69867626e6dc	1953	arachniodes macrostegia
2cbc9379-c28e-46db-b825-8d218355e00c	1961	arachniodes macrostegia
05908fcc-a379-4712-b91b-39dc9d02e213	1971	arachniodes macrostegia
8b33a97e-9f08-436f-8492-20cdd9192715	1973	arachniodes macrostegia
035549a5-e5b0-4076-ad80-102155961438	1973	arachniodes macrostegia
3586ec0d-4e12-4991-8151-8d2e60f69f9c	1973	arachniodes macrostegia
be5e8dcf-9023-4e2c-be8b-74f3a8205d5d	1973	arachniodes macrostegia
28b350d2-fe57-4adc-8cf5-e0d4bb620d5e	1977	arachniodes macrostegia
04a0b9e3-adb8-4a2c-ad07-b6e367ffaf02	1977	arachniodes macrostegia
e4c1a53f-da92-4462-b5f2-d2ee4f2832f8	1977	arachniodes macrostegia
eb4644ac-5309-4989-b9c6-ab61b085c60e	1984	arachniodes macrostegia
3827ba3d-caf6-47da-88bc-c8cc7078927a	1984	arachniodes macrostegia
740f1747-f243-4dfd-8055-c18e3b970bc6	1984	arachniodes macrostegia
89f475b7-a082-4475-b3df-4624e8261fe8	1984	arachniodes macrostegia
65ef879d-feeb-4d7f-ac8c-abc746055e09	1984	arachniodes macrostegia
8c91f878-8fa2-4292-be2a-b0968d2df016	1984	arachniodes macrostegia
69bfd698-c4c9-43ed-8a3d-01a0ed38f6b7	1984	arachniodes macrostegia
1f481ed3-d49d-4a18-9928-1ea85cc47932	1984	arachniodes macrostegia
0e279def-827a-499d-9bdf-1c913595ea9e	1984	arachniodes macrostegia
062cd9ef-a02a-4889-90b5-9021ae197bd5	1984	arachniodes macrostegia
9d5a45b9-b21a-43c9-8175-25bf87f90ed0	1984	arachniodes macrostegia
42b9994c-04d9-49a5-b410-0ee865c38980	1984	arachniodes macrostegia
86c4e70f-3ff1-48ae-a550-a8ad2c676647	1984	arachniodes macrostegia
d95954d8-294d-4f49-a8ee-28411779a73e	1984	arachniodes macrostegia
f83a2067-9229-4378-8f22-bc265f9863b0	1984	arachniodes macrostegia
7cbb71f7-a5aa-426e-9be6-f36fbce4fa6c	1984	arachniodes macrostegia
94f363d3-8184-4568-bd46-796b6aca0e2d	1985	arachniodes macrostegia
8784c884-9154-477f-aa26-9a3a572a80f7	1987	arachniodes macrostegia
66051d70-a7f5-41d3-872d-83a264906eba	1988	arachniodes macrostegia
4cf38cc6-45df-4c36-8070-f032febfc4ef	1990	arachniodes macrostegia
8db9b137-ee2f-40e4-ba32-02b35d35f6b2	1990	arachniodes macrostegia
4f80b297-55c1-4cbc-aefc-d7503500736e	1990	arachniodes macrostegia
617fec0e-f10c-40f0-89c5-feaeb2fefe1f	1991	arachniodes macrostegia
4e29fbd2-d778-4a66-9dfd-de7cf3ec53be	1994	arachniodes macrostegia
bd731f85-50ed-4541-b1f1-cbb9fae1617a	1994	arachniodes macrostegia
bb030928-7b97-4333-a5a3-c083d49b4ef9	1994	arachniodes macrostegia
aa3ef14f-6172-495b-b6f7-d6317da33803	1997	arachniodes macrostegia
59924892-e681-4d47-9b64-bb1c5dd200ba	2001	arachniodes macrostegia
c4cca8a2-bd5d-41b8-855a-9e1ae70156e8	2002	arachniodes macrostegia
e0386a16-809d-432b-b6c2-0dffc747c4fa	2003	arachniodes macrostegia
58618e08-cd92-4901-8e8f-b65bcf3dc327	2004	arachniodes macrostegia
05569d40-2f9b-444f-aee1-4c7391728e0d	2004	arachniodes macrostegia
7fc835d1-5c9e-4dd0-9c21-6df664c9cd2f	2004	arachniodes macrostegia
bc9955c1-19dd-4b91-8381-4f85eb2a34c6	2007	arachniodes macrostegia
666d9737-7fc9-4a19-ae63-d8e4a2d9ac31	2012	arachniodes macrostegia
f6b54ac6-e906-4876-ba58-cf1450dc8faa	2012	arachniodes macrostegia
1d7f0304-06b5-409e-8f7c-56a3e599a4a9	2016	arachniodes macrostegia
012a161c-ce76-4361-a7fc-f154358c692d	1969	areca catechu
ba2617be-c7d2-40e1-bd63-7f179f157717	1969	areca catechu
17398fd3-936c-45cf-9e7f-b28c06b17bb5	1989	aristolochia pilosa
3941e59a-bfbd-4bda-bd40-13353964a1da	1989	aristolochia pilosa
d6fd077a-7c98-47a9-9ad8-39635bc2e512	1989	aristolochia pilosa
846aa13a-64e0-4657-a683-a5a85b97fb5b	1980	artemisia
7e6af01a-7801-49e4-8ee4-a8fb185d90d5	1980	artemisia
c080ee1f-7d24-48d4-b03f-3f20e13a5e37	1980	artemisia
b5132cec-7611-4a80-a867-5b0402faf1ad	1980	artemisia arbuscula
8ca54b45-9219-4ff3-8b4d-2f7c65fd873b	2011	artemisia arbuscula
e2a834a6-ca90-4344-9269-d9a90637face	2011	artemisia arbuscula
cc91f8c8-5f04-4026-a259-8e9c4f669076	1980	artemisia tridentata
2ee5eb21-1db0-432f-893a-d2b3afecae8c	1986	artocarpus heterophyllus
ba47ca8c-f95d-4107-9c07-eb238cea6c6e	1921	arundinella berteroniana
013c6bf3-bb00-44c2-9c9d-d00f58fee612	1978	aspidosperma spruceanum
210ba5e6-dbf2-4a28-aa18-8fe0d2ee93f0	1981	aspidosperma spruceanum
73487f5b-2735-47a5-b66d-1500e7974c7d	1978	asplenium
